bairro,região
AGUAS DA PRATA,Leste
AGUAS DO CANINDU,Norte
ALTO DA PONTE,Norte
ALTOS DA VILA PAIVA,Norte
ALTOS DO UIRA,Sudeste
ARAUJO,Leste
BAIRRINHO,Leste
BAIRRO CAJURU,Leste
BAIRRO DOS FERREIRAS,Norte
BAIRRO DOS PINHEIROS,Centro
MARTINS GUIMARAES,Leste
MATO DENTRO,Leste
SERIMBURA,Centro
BANHADO,Centro
BEIRA RIO,Oeste
BICA D'AGUA,Leste
BOM RETIRO,Leste
BOSQUE DOS EUCALIPTOS,Sul
BOSQUE DOS IPES,Sul
BOSQUE IMPERIAL,Oeste
BUQUIRINHA,Norte
CAETE,Norte
CAMBUCA,Leste
CAMPO DOS ALEMAES,Sul
CAMPOS DE SAO JOSE,Leste
CAPAO GROSSO,Leste
CAPAO GROSSO II,Leste
CAPITINGAL,Sul
CARAMUJO,Sul
CASTANHEIRA II,Leste
CENTRO,Centro
CHACARA BOA ESPERANCA,Leste
CHACARA CAPAO GROSSO,Leste
CHACARA DOS EUCALIPTOS,Centro/Leste
CHACARA MAJESTIC,Leste
CHACARA POUSADA DO VALE,Leste
CHACARA SANTA LUZIA,Leste
CHACARA SAO VICENTE,Leste
CHACARA SITIO JATAI,Leste
CHACARAS REUNIDAS,Sul
CHACARAS SAO JOSE,Sudeste
CIDADE MORUMBI,Sul
CIDADE VISTA VERDE,Leste
COLINAS DO PARAHYBA,Norte
CONDOMINIO FLORESTA,Leste
CONJ. HAB. DOM PEDRO I,Sul
CONJ. HAB. DOM PEDRO II,Sul
CONJ. HAB. ELMANO F. VELOSO,Sul
CONJ. HAB. INTERVALE,Leste
CONJ. HAB. POLICIA MILITAR,Sudeste
CONJ. HAB. SAO GERALDO,Norte
CONJ. HAB. SAO JOSE,Leste
CONJ. HAB. VALE DOS PINHEIROS,Centro
CONJ. HAB. VILA TATETUBA,Leste
CONJ. INTEGRACAO,Leste
CONJ. RES. 31 DE MARCO,Sul
CONJ. RES. CIDADE JARDIM,Sul
CONJ. RES. JARDIM DAS FLORES,Leste
CONJ. RES. JK,Leste
CONJ. RES. MONTE CASTELO,Centro
CONJ. RES. MORADA DO SOL,Sul
CONJ. RES. MORUMBI,Sul
CONJ. RES. NOSSO TETO,Sudeste
CONJ. RES. NOVA CRISTINA,Norte
CONJ. RES. PAPA JOAO PAULO II,Sul
CONJ. RES. PARQUE DAS AMERICAS,Leste
CONJ. RES. PLANALTO,Leste
CONJ. RES. PRIMAVERA,Sul
CONJ. RES. RECANTO DOS EUCALIPTOS,Sul
CONJ. RES. RECANTO DOS PINHEIROS,Sul
CONJ. RES. SOL NASCENTE,Sul
CONJ. SAO JUDAS TADEU,Sudeste
DCTA,Sudeste
EBENEZER,Leste
ESPELHO D'AGUA,Norte
EUGENIO DE MELLO,Leste
FAVELA VILA NOVA ESPERANCA,Centro
FAVELA VILA RHODIA,Norte
FAZENDA BOM RETIRO,Leste
FAZENDA HONDA,Leste
FAZENDA JATAI,Norte
FAZENDA NOSSA SENHORA DA CONCEICAO,Leste
FAZENDA PILAO ARCADO,Leste
FAZENDA TAIRA,Leste
FAZENDA TAKANASHI,Leste
FAZENDA TONINHO FERREIRA,Leste
FAZENDA VILA FRANCA,Leste
FLORADAS DE SAO JOSE,Sul
FREI GALVAO,Leste
HAWAI,Norte
JAGUARIUNA,Norte/Oeste
JARDIM AEROPORTO,Sul
JARDIM ALTOS DE SANTANA,Norte
JARDIM ALTOS DO ESPLANADA,Oeste
JARDIM ALVORADA,Oeste
JARDIM AMERICA,Sul
JARDIM AMERICANO,Leste
JARDIM,Norte
JARDIM ANHEMBI,Sul
JARDIM APARECIDA,Centro
JARDIM APOLO I,Centro
JARDIM APOLO II,Centro
RESIDENCIAL JARDIM AQUARIUS,Oeste
JARDIM AUGUSTA,Centro
JARDIM AZEVEDO,Centro
JARDIM BANDEIRANTES,Centro
JARDIM BELA VISTA,Centro
JARDIM BOA VISTA,Norte
JARDIM BRASILIA,Leste
JARDIM CASSIANO RICARDO,Oeste
JARDIM CASTANHEIRAS,Leste
JARDIM CEREJEIRAS,Leste
JARDIM DAS COLINAS,Oeste
JARDIM COLONIAL,Sul
JARDIM COLORADO,Sudeste
JARDIM COPACABANA,Leste
JARDIM COQUEIRO,Leste
JARDIM CORINTHIANS,Centro
JARDIM CRUZEIRO DO SUL,Sul
JARDIM DA GRANJA,Sudeste
JARDIM DAS AZALEIAS,Sul
JARDIM DAS INDUSTRIAS,Oeste
JARDIM DAS PAINEIRAS I,Leste
JARDIM DAS PAINEIRAS II,Leste
JARDIM DEL REY,Sul
JARDIM DIAMANTE,Leste
JARDIM DO CEU,Sul
JARDIM DO LAGO,Sudeste
JARDIM DOS BANDEIRANTES,Sul
JARDIM ESPLANADA,Centro
JARDIM ESPLANADA II,Centro
JARDIM ESTORIL,Sul
JARDIM FREI LEOPOLDO,Centro
JARDIM GUIMARAES,Norte
JARDIM HELENA,Leste
JARDIM IMPERIAL,Sul
JARDIM IPE,Leste
JARDIM ISMENIA,Leste
JARDIM ITAPUA,Leste
JARDIM JACI,Norte
JARDIM JULIANA,Sul
JARDIM JUSSARA,Centro
JARDIM MADUREIRA,Sul
JARDIM MARACANA,Leste
JARDIM MARGARETH,Centro
JARDIM MARIANA,Leste
JARDIM MARIANA II,Leste
JARDIM MARINGA,Centro
JARDIM MATARAZZO,Centro
JARDIM MESQUITA,Sul
JARDIM MOTORAMA,Leste
JARDIM NOSSA SENHORA DE FATIMA,Centro
JARDIM NOVA AMERICA,Centro
JARDIM NOVA DETROIT,Leste
JARDIM NOVA EUROPA,Centro
JARDIM NOVA FLORIDA,Leste
JARDIM NOVA MICHIGAN,Leste
JARDIM NOVA PAULICEIA,Norte
JARDIM NOVA REPUBLICA,Sul
JARDIM OLIMPIA,Leste
JARDIM ORIENTAL,Sul
JARDIM PARAISO,Sul
JARDIM PARAISO DO SOL,Leste
JARDIM POR DO SOL,Oeste
JARDIM PORTUGAL,Sul
JARDIM RENATA,Centro
JARDIM REPUBLICA,Sul
JARDIM ROSARIO,Sul
JARDIM SANTA EDWIGES,Sul
JARDIM SANTA FE,Sudeste
JARDIM SANTA INES I,Leste
JARDIM SANTA INES II,Leste
JARDIM SANTA INES III,Leste
JARDIM SANTA JULIA,Sudeste
JARDIM SANTA LUZIA,Sudeste
JARDIM SANTA MADALENA,Centro
JARDIM SANTA MARIA,Leste
JARDIM SANTA MATILDE,Norte
JARDIM SANTA ROSA,Sudeste
JARDIM SANTO ONOFRE,Sudeste
JARDIM SANTOS DUMONT,Centro
JARDIM SAO DIMAS,Centro
JARDIM SAO JORGE,Leste
JARDIM SAO JOSE,Centro
JARDIM SAO LEOPOLDO,Sudeste
JARDIM SAO VICENTE,Leste
JARDIM SATELITE,Sul
JARDIM SOUTO,Sudeste
JARDIM TELESPARK,Norte
JARDIM TERRAS DO SUL,Sul
JARDIM TORRA DE OURO,Sul
JARDIM TRES JOSE,Leste
JARDIM UIRA,Sudeste
JARDIM UNIVERSO,Leste
JARDIM VALE DO SOL,Sul
JARDIM VALE PARAISO,Centro
JARDIM VENEZA,Sul
LIMOEIRO,Oeste
MANTIQUEIRA I,Leste
MANTIQUEIRA II,Leste
MARAVILHAS DO CAJURU,Leste
MIRANDA,Norte
MIRANTE I,Leste
MIRANTE II,Leste
MONTE CASTELO,Centro
MORADA DO FENIX,Leste
MORADA DO SOL,Leste
NOSSA SENHORA DO BOM RETIRO,Leste
NOVA MICHIGAN II,Leste
NOVA MICHIGAN III,Leste
NOVA MICHIGAN IV,Leste
OLIVEIRAS,Norte
PALMEIRAS DE SAO JOSE,Sul
PARQUE DOS IPES,Sul
PARQUE INDEPENDENCIA,Sul
PARQUE INDUSTRIAL,Sul
PARQUE INTERLAGOS,Sul
PARQUE MARTIM CERERE,Sudeste
PARQUE NOVA ESPERANCA,Leste
PARQUE NOVO HORIZONTE,Leste
PARQUE RESIDENCIAL AQUARIUS,Oeste
PARQUE RESIDENCIAL UNIAO,Sul
PARQUE SANTA RITA,Sudeste
PARQUE SANTOS DUMONT,Sudeste
PERNAMBUCANA DE BAIXO,Sul
PERNAMBUCANA DE CIMA,Sudeste
PINHEIRINHO,Sul
PORTAL DO CEU,Leste
POUSADA DO VALE,Leste
PRIMAVERA I,Leste
PRIMAVERA II,Leste
PROJETO TORRAO DE OURO,Sul
PUTIM,Sudeste
QUINTA DAS FLORES,Sul
RECANTO CAETE,Norte
RECANTO DAS JABUTICABEIRAS,Sudeste
RECANTO DO VALE,Leste
RECANTO DOS EUCALIPTOS,Sudeste
RECANTO DOS LAGOS,Leste
RECANTO DOS NOBRES,Sudeste
RENASCER I,Leste
RENASCER II,Leste
RES. ALTOS DO BOSQUE,Sul
RES. ANA MARIA,Leste
RES. ARMANDO MOREIRA RIGHI,Leste
RES. BELL PARK,Sudeste
RES. CAMBUI,Sudeste
RES. DA RIBEIRA,Leste
RES. DE VILLE,Sul
RES. DOM BOSCO,Leste
RES. ESPLANADA DO SOL,Centro
RES. FLAMBOYANT,Sudeste
RES. GALO BRANCO,Leste
RES. GAZZO,Sul
RES. JARDINS,Sul
RES. JATOBA,Sudeste
RES. JURITIS,Sudeste
RES. MARTINS PEREIRA,Centro
RES. SAN MARINO,Sul
RES. SANTA ROSA,Sudeste
RES. SAO FRANCISCO,Sudeste
RES. SUNSET PARK,Oeste
RES. VISTA LINDA,Leste
RESSACA,Leste
RHODIA,Norte
RIO COMPRIDO,Sul
ROYAL PARK,Oeste
